listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
10,57,102,28,3,morse code,sound-of-incoming-Morse-code-message-,morse code,1,3,0,0,0,0.6
10,57,159,8,3,morse code,sound-of-incoming-Morse-code-message-,morse code,1,3,0,0,0,0.6
10,58,68,38,1,paper tearing,whiff-sound-of-something-blown,train warning bell,0,low-intensity,1,0,1,0.6
10,58,184,23,1,paper tearing,whiff-sound-of-something-blown,kettle whistling,0,low-intensity,1,0,1,0.6
10,59,62,47,5,telephone ringing,ringing-telephone--possibly-old-stationary-landline-phone--or-payphone,telephone ringing,1,high-intensity,0,0,1,0.4
10,59,195,26,5,telephone ringing,ringing-telephone--possibly-old-stationary-landline-phone--or-payphone,telephone ringing,1,high-intensity,0,0,1,0.4
10,60,76,21,3,lawn mower,sound-coming-in-window-of-moving-car,car engine starting,0,high-intensity,1,0,1,0.2
10,60,233,6,3,lawn mower,sound-coming-in-window-of-moving-car,tree falling,0,high-intensity,1,0,1,0.2
10,61,67,39,3,balloon deflating,sparklerburning-out,liquid pouring out of a bottle,0.5,2,0,0,0,0.4
10,61,230,30,3,balloon deflating,sparklerburning-out,balloon deflating,0.5,2,0,0,0,0.4
10,62,57,26,2,rubbing cloth,someone-brushing-something-off,rubbing cloth,1,low-intensity,1,0,0,0.4
10,62,172,23,2,rubbing cloth,someone-brushing-something-off,rubbing cloth,1,low-intensity,1,0,0,0.4
10,63,123,37,6,organ,very-large-pipe-organ--possibly-inside-a-very-large--cavernous-church,organ,1,high-intensity,1,0,0,0.8
10,63,248,5,6,organ,very-large-pipe-organ--possibly-inside-a-very-large--cavernous-church,organ,1,high-intensity,1,0,0,0.8
10,64,71,9,2,sipping,slurping-of-liquid,sipping,1,2,0,0,0,0.6
10,64,147,9,2,sipping,slurping-of-liquid,sipping,1,2,0,0,0,0.6
10,65,119,5,6,bathwater,rapidly-moving-water,bathwater,1,2,0,0,0,0.6
10,65,245,39,6,bathwater,rapidly-moving-water,bathwater,1,2,0,0,0,0.6
10,66,113,21,4,violin,musical-notes-on-a-violin,violin,1,3,0,0,0,0.4
10,66,248,13,4,violin,musical-notes-on-a-violin,violin,1,3,0,0,0,0.4
10,67,90,34,4,bicycle,spinning-noise--maybe-on-a-toy,bicycle,1,low-intensity,0,0,0,0.6
10,67,153,6,4,bicycle,spinning-noise--maybe-on-a-toy,bicycle,1,low-intensity,0,0,0,0.6
10,68,65,49,3,dialup,sound-on-a-small-machine,dialup,0.5,3,0,0,0,0.6
10,68,244,44,3,dialup,sound-on-a-small-machine,car windows,0.5,3,0,0,0,0.6
10,69,70,4,4,chinese,woman-speaking-Chinese--or-similar-Asian-language,chinese,1,3,0,0,0,0.6
10,69,227,35,4,chinese,woman-speaking-Chinese--or-similar-Asian-language,chinese,1,3,0,0,0,0.6
10,70,57,11,5,inflating a balloon,someone-blowing-their-nose,inflating a balloon,0.5,low-intensity,0,0,1,0.8
10,70,233,20,5,inflating a balloon,someone-blowing-their-nose,gargling,0.5,low-intensity,0,0,1,0.8
10,71,132,36,4,triangle,tinkling-of-a-small-triangle-musical-instrument,orchestra tuning,0.5,2,0,0,0,0.6
10,71,157,50,4,triangle,tinkling-of-a-small-triangle-musical-instrument,triangle,0.5,2,0,0,0,0.6
10,72,44,16,3,horse galloping,horse-trotting,horse galloping,1,2,0,1,0,0.6
10,72,105,21,3,horse galloping,horse-trotting,horse galloping,1,2,0,1,0,0.6
10,73,54,36,1,cicadas,slight-nature-noise--possibly-insects,cicadas,1,3,0,0,0,0.6
10,73,203,17,1,cicadas,slight-nature-noise--possibly-insects,cicadas,1,3,0,0,0,0.6
10,74,83,43,5,turkey gobble,bird-noises--probably-ducks-or-geese,turkey gobble,1,3,0,1,0,0.4
10,74,210,37,5,turkey gobble,bird-noises--probably-ducks-or-geese,turkey gobble,1,3,0,1,0,0.4
10,75,98,1,7,train warning bell,ringing-bell-in-a-train-station,train warning bell,0.5,high-intensity,1,0,0,0.4
10,75,229,23,7,train warning bell,ringing-bell-in-a-train-station,train passing by,0.5,high-intensity,1,0,0,0.4
10,76,55,4,2,piano,very-faint-musical-notes--possibly-a-piccolo,pager beeps,0.5,3,0,0,0,0.2
10,76,180,15,2,piano,very-faint-musical-notes--possibly-a-piccolo,piano,0.5,3,0,0,0,0.2
10,77,53,29,1,ringtone,very-very-faint--[ossibly-water-dripping,drink fizzing,0,3,0,0,0,0
