listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
20,129,61,38,4,bass drum hits,beating-of-the-timber-drum-or-bass-drum,bass drum hits,1,high-intensity,1,0,1,0.6
20,129,211,3,4,bass drum hits,beating-of-the-timber-drum-or-bass-drum,bass drum hits,1,high-intensity,1,0,1,0.6
20,133,118,26,4,paper cutter,mechanic-using-wrench,drawer opening,0,low-intensity,0,0,1,1
20,133,170,27,4,paper cutter,mechanic-using-wrench,film reel,0,low-intensity,0,0,1,1
20,136,80,24,3,velcro,dominos-falling-or-cards-being-shuffled,coins dropping,0,low-intensity,1,0,1,0.6
20,136,249,2,3,velcro,dominos-falling-or-cards-being-shuffled,newspaper page turning,0,low-intensity,1,0,1,0.6
20,137,77,22,5,soda pouring into a cup,pouring-of-a-beverage,soda pouring into a cup,1,low-intensity,1,0,1,0.6
20,137,184,46,5,soda pouring into a cup,pouring-of-a-beverage,soda pouring into a cup,1,low-intensity,1,0,1,0.6
20,139,118,36,7,hammering metal,hammering-metal--i.e.-railroad-track,hammering metal,1,high-intensity,0,0,1,0.6
20,139,218,39,7,hammering metal,hammering-metal--i.e.-railroad-track,hammering metal,1,high-intensity,0,0,1,0.6
20,142,75,16,5,dice roll,shuffling-dice-in-a-yahtzee-game,dice roll,1,low-intensity,1,0,1,0.6
20,142,157,36,5,dice roll,shuffling-dice-in-a-yahtzee-game,dice roll,1,low-intensity,1,0,1,0.6
20,148,114,37,4,chainsaw revving,motorcycle,chainsaw revving,1,high-intensity,1,0,1,0.6
20,148,221,15,4,chainsaw revving,motorcycle,chainsaw revving,1,high-intensity,1,0,1,0.6
20,151,65,44,4,humming,african-american-man-humming-a-tune,humming,1,low-intensity,1,0,1,0.6
20,151,153,33,4,humming,african-american-man-humming-a-tune,humming,1,low-intensity,1,0,1,0.6
20,152,45,47,5,mac startup sound,piano-synthesizer-chord,organ,0,low-intensity,1,0,1,1
20,152,67,24,5,mac startup sound,piano-synthesizer-chord,acoustic bass,0,low-intensity,1,0,1,1
20,154,131,32,4,truck beeping,truck-backing-up,truck beeping,1,high-intensity,1,0,1,0.4
20,154,204,42,4,truck beeping,truck-backing-up,truck beeping,1,high-intensity,1,0,1,0.4
20,156,107,12,1,gunshots,light-pinging-in-background-on-metal-perhaps,grandfather clock,0,high-intensity,1,0,1,0.2
20,156,186,50,1,gunshots,light-pinging-in-background-on-metal-perhaps,ping pong,0,high-intensity,1,0,1,0.2
20,157,83,1,3,lion growl,lion-or-maybe-a-tiger,lion growl,1,high-intensity,1,0,1,0.4
20,157,201,41,3,lion growl,lion-or-maybe-a-tiger,lion growl,1,high-intensity,1,0,1,0.4
20,160,98,4,4,dentist drill,dentist's-drill-or-regular-drill,dentist drill,1,high-intensity,1,1,1,0.8
20,160,188,20,4,dentist drill,dentist's-drill-or-regular-drill,dentist drill,1,high-intensity,1,1,1,0.8
20,163,127,23,3,shouting,male-speaking-english-sounds-like-performing-some-kind-of-a-stage-performance/-dialog,shouting,1,high-intensity,1,0,1,0.4
20,163,226,26,3,shouting,male-speaking-english-sounds-like-performing-some-kind-of-a-stage-performance/-dialog,shouting,1,high-intensity,1,0,1,0.4
20,164,123,21,1,traffic noises,chimes-or-bell-noise-in-background,traffic noises,0.5,high-intensity,1,0,1,0.2
20,164,167,44,1,traffic noises,chimes-or-bell-noise-in-background,pinball,0.5,high-intensity,1,0,1,0.2
20,165,126,5,1,scissors cutting paper,cutting-heavy-stock-paper,paper tearing,0,low-intensity,1,0,1,0.6
20,165,240,31,1,scissors cutting paper,cutting-heavy-stock-paper,salt shaker,0,low-intensity,1,0,1,0.6
20,166,119,16,2,slicing bread,cutting,scratching,0.5,low-intensity,0,1,1,0.6
20,166,232,17,2,slicing bread,cutting,slicing bread,0.5,low-intensity,0,1,1,0.6
20,173,114,5,2,cymbol crash,cymbals,cymbol crash,1,high-intensity,1,0,1,0.2
20,173,164,28,2,cymbol crash,cymbals,cymbol crash,1,high-intensity,1,0,1,0.2
20,174,71,31,4,writing on a whiteboard,dry-erase-marker-on-board,writing on a whiteboard,1,low-intensity,1,0,1,0.4
20,174,238,13,4,writing on a whiteboard,dry-erase-marker-on-board,writing on a whiteboard,1,low-intensity,1,0,1,0.4
20,177,51,2,1,paper shredder,drill-or-machine-running,paper shredder,1,high-intensity,1,0,1,1
20,177,71,44,1,paper shredder,drill-or-machine-running,paper shredder,1,high-intensity,1,0,1,1
20,180,94,8,1,water boiling,static,rubbing cloth,0,low-intensity,1,0,1,0.4
20,180,147,40,1,water boiling,static,crowd cheering,0,low-intensity,1,0,1,0.4
20,183,69,47,7,dog barking,annoying-dog,dog barking,1,high-intensity,0,1,1,0.4
20,183,223,36,7,dog barking,annoying-dog,dog barking,1,high-intensity,0,1,1,0.4
20,184,43,30,2,crowd noise,conversations-at-a-conference-or-work-event,crowd noise,1,high-intensity,0,0,1,0
20,184,103,40,2,crowd noise,conversations-at-a-conference-or-work-event,crowd noise,1,high-intensity,0,0,1,0
20,186,132,13,5,paper tearing,ball-rolling-around-a-roulette-wheel-or-taking-off-painter's-tape-from-a-wall,rocking chair,0.5,low-intensity,1,0,1,0.6
20,186,240,35,5,paper tearing,ball-rolling-around-a-roulette-wheel-or-taking-off-painter's-tape-from-a-wall,paper tearing,0.5,low-intensity,1,0,1,0.6
20,189,55,35,1,shuffling,rustling,shuffling,1,low-intensity,1,0,1,0.8
20,189,144,30,1,shuffling,rustling,shuffling,1,low-intensity,1,0,1,0.8
20,192,106,40,7,crowd laughing,laugh-track-at-a-comedy-show,crowd laughing,1,high-intensity,0,0,1,0.2
20,192,216,36,7,crowd laughing,laugh-track-at-a-comedy-show,crowd laughing,1,high-intensity,0,0,1,0.2
20,193,69,21,1,alarm clock,alarm-clock,alarm clock,1,high-intensity,0,0,1,0.4
20,193,237,2,1,alarm clock,alarm-clock,alarm clock,1,high-intensity,0,0,1,0.4
20,200,59,49,5,chair rolling,rolling-around-on-a-hard-floor-in-an-office-chair,chair rolling,0.5,low-intensity,1,1,1,0.6
20,200,209,43,5,chair rolling,rolling-around-on-a-hard-floor-in-an-office-chair,door creaking,0.5,low-intensity,1,1,1,0.6
20,201,105,16,4,tap dancing,tap-dancer,tap dancing,1,high-intensity,1,0,1,0.8
20,201,236,21,4,tap dancing,tap-dancer,tap dancing,1,high-intensity,1,0,1,0.8
20,204,46,50,3,pinball,pin-ball-machine,pinball,1,high-intensity,1,0,1,0.6
20,204,65,31,3,pinball,pin-ball-machine,pinball,1,high-intensity,1,0,1,0.6
20,205,73,24,3,breathing,heavy-panting-by-a-woman,baby babbling,0.5,low-intensity,1,0,1,0.4
20,205,145,50,3,breathing,heavy-panting-by-a-woman,breathing,0.5,low-intensity,1,0,1,0.4
20,206,90,41,5,stream,flowing-water,stream,1,low-intensity,1,1,1,0.6
20,206,233,12,5,stream,flowing-water,stream,1,low-intensity,1,1,1,0.6
20,207,100,45,7,slot machine,slot-maching-win-at-casino,slot machine,1,high-intensity,1,0,1,0.6
20,207,140,25,7,slot machine,slot-maching-win-at-casino,slot machine,1,high-intensity,1,0,1,0.6
20,211,131,9,5,lawn mower,lawnmower,lawn mower,1,high-intensity,1,0,1,0.6
20,211,205,8,5,lawn mower,lawnmower,lawn mower,1,high-intensity,1,0,1,0.6
20,212,93,44,5,monkey screaming,monkey/-chimpanzee-@-zoo,monkey screaming,1,high-intensity,1,0,1,0.8
20,212,226,32,5,monkey screaming,monkey/-chimpanzee-@-zoo,monkey screaming,1,high-intensity,1,0,1,0.8
