listener,listener_trial,reverb_condition,sound_heard,distance_rating,typical_source_intensity
9,95,unaltered,bike_bell,4,low-intensity
9,96,unaltered,ratchet,2,low-intensity
9,97,reverb,sawing,6,high-intensity
9,98,unaltered,car_skidding,7,high-intensity
9,99,unaltered,bowling_pins_falling,4,high-intensity
9,100,reverb,swimming,5,low-intensity
9,101,unaltered,balloondeflating,6,low-intensity
9,102,reverb,horse_neighing,8,high-intensity
9,103,reverb,walking_on_hard_surface,5,low-intensity
9,104,unaltered,lion_growl_and_roar,5,high-intensity
9,105,reverb,elevator_door,5,low-intensity
9,106,reverb,boiling_water,5,low-intensity
9,107,unaltered,basketball_dribbling,5,low-intensity
9,108,reverb,tearing,5,low-intensity
9,109,reverb,squeaky_toy,5,high-intensity
9,110,reverb,gavel,7,high-intensity
9,111,unaltered,cow_mooing,5,high-intensity
9,112,reverb,grandfather_clock_chimes,4,high-intensity
9,113,reverb,walking_on_gravel,6,low-intensity
9,114,reverb,crumpling_paper,5,low-intensity
9,115,reverb,chimes_in_the_wind,4,high-intensity
9,116,reverb,spray_can_shaking,9,low-intensity
9,117,unaltered,vacuum,5,high-intensity
9,118,reverb,train_whistle,5,high-intensity
9,119,reverb,race_car_passing_by,9,high-intensity
9,120,reverb,pinball_machine_sounds,5,high-intensity
9,121,reverb,lawn_mower,7,high-intensity
9,122,unaltered,winding_up_a_device,6,low-intensity
9,123,unaltered,motorcycle_reving,5,high-intensity
9,124,unaltered,flag_flapping,2,low-intensity
9,125,reverb,gong,5,high-intensity
9,126,reverb,car_power_windows,6,low-intensity
9,127,reverb,boat_horn,6,high-intensity
9,128,reverb,dial_tone,4,low-intensity
9,129,unaltered,running_up_stairs,2,low-intensity
9,130,unaltered,toothbrushing,1,low-intensity
9,131,unaltered,seagulls,5,high-intensity
9,132,reverb,duck_quack,4,high-intensity
9,133,unaltered,water_dripping,1,low-intensity
9,134,unaltered,glass_shattering,6,high-intensity
9,135,reverb,ballooninflating,5,low-intensity
9,136,reverb,grunting_and_groaning,5,low-intensity
9,137,reverb,car_idling,6,low-intensity
9,138,reverb,bicycling,4,low-intensity
9,139,unaltered,kettle_whistling,2,high-intensity
9,140,unaltered,heart_beat,7,low-intensity
9,141,reverb,monkey_scream,7,high-intensity
9,142,unaltered,blacksmith_hammering,4,high-intensity
9,143,unaltered,bicycle_skidding,2,low-intensity
9,144,reverb,puppy_whining,5,low-intensity
9,145,unaltered,reception_desk_bell,2,high-intensity
9,146,reverb,background_speech,9,high-intensity
9,147,reverb,newspaper_rustling,5,low-intensity
9,148,reverb,fire,5,low-intensity
9,149,reverb,coughing,6,high-intensity
9,150,unaltered,waves_at_beach,6,high-intensity
9,151,unaltered,suitcase_rolling,6,low-intensity
9,152,reverb,rain,5,high-intensity
9,153,reverb,rooster,6,high-intensity
9,154,unaltered,crowd_cheering,9,high-intensity
9,155,reverb,siren,6,high-intensity
9,156,reverb,hair_dryer,5,high-intensity
9,157,reverb,pouring_liquid,5,low-intensity
9,158,reverb,frog_croaking,5,low-intensity
9,159,unaltered,truck,7,high-intensity
9,160,reverb,coin_dropping,5,low-intensity
9,161,reverb,film_reel_turning,7,high-intensity
9,162,unaltered,rattlesnake,4,low-intensity
9,163,unaltered,coffee_machine,4,low-intensity
9,164,reverb,telephone_dialing,4,low-intensity
9,165,unaltered,road_traffic,7,high-intensity
9,166,reverb,frying,5,low-intensity
9,167,reverb,typing,5,low-intensity
9,168,reverb,dog_drinking,5,low-intensity
9,169,reverb,church_bells,5,high-intensity
9,170,reverb,bear,6,high-intensity
9,171,unaltered,train_passing_by,6,high-intensity
9,172,reverb,crowd_laughing,7,high-intensity
9,173,reverb,printing,6,high-intensity
9,174,reverb,rocking_chair,5,high-intensity
9,175,reverb,cash_register,8,low-intensity
9,176,reverb,crickets,6,low-intensity
9,177,unaltered,shower,6,high-intensity
9,178,unaltered,applause,6,high-intensity
9,179,unaltered,pool_balls_colliding,4,high-intensity
9,180,unaltered,bus_decelerating,4,high-intensity
9,181,reverb,computer_startup_sound,1,low-intensity
9,182,unaltered,dishes_clanking,5,high-intensity
9,183,unaltered,chopping_food,1,low-intensity
9,184,reverb,tennis_volley,2,high-intensity
9,185,unaltered,bells_jingling,7,high-intensity
9,186,unaltered,jackhammer,4,high-intensity
9,187,reverb,rotary_telephone_dialer,4,low-intensity
9,188,unaltered,wolf_howling,2,high-intensity
9,189,reverb,walking_with_heels,5,high-intensity
9,190,unaltered,cutting_with_scissors,2,low-intensity
9,191,reverb,scratching,2,low-intensity
9,192,unaltered,pepper_grinder,8,low-intensity
10,1,reverb,door_knocking,6,high-intensity
10,2,unaltered,helicopter,5,high-intensity
10,3,reverb,finger_tapping,5,low-intensity
10,4,unaltered,fire_alarm,7,high-intensity
10,5,reverb,water_dripping,5,low-intensity
10,6,unaltered,ping_pong,5,high-intensity
10,7,unaltered,pig_snorting,4,high-intensity
10,8,reverb,crowd_cheering,7,high-intensity
10,9,reverb,pouring_water_out_of_bottle,5,low-intensity
10,10,reverb,vacuum,6,high-intensity
10,11,reverb,gavel,7,high-intensity
10,12,unaltered,rooster,7,high-intensity
10,13,reverb,telephone_dialing,4,low-intensity
10,14,reverb,walking_on_hard_surface,7,low-intensity
10,15,unaltered,shoveling,2,low-intensity
10,16,reverb,race_car_passing_by,9,high-intensity
10,17,reverb,kettle_whistling,5,high-intensity
10,18,reverb,train_passing_by,7,high-intensity
10,19,unaltered,ratchet,4,low-intensity
10,20,reverb,monkey_scream,6,high-intensity
10,21,reverb,elevator_door,2,low-intensity
10,22,unaltered,jackhammer,4,high-intensity
10,23,unaltered,hair_dryer,8,high-intensity
10,24,unaltered,seagulls,2,high-intensity
10,25,unaltered,owl_hooting,6,low-intensity
10,26,reverb,coin_dropping,1,low-intensity
10,27,reverb,running_on_gravel,5,low-intensity
10,28,reverb,wolf_howling,5,high-intensity
10,29,unaltered,duck_quack,6,high-intensity
10,30,reverb,grandfather_clock_chimes,8,high-intensity
10,31,reverb,popcorn,8,high-intensity
10,32,unaltered,pinball_machine_sounds,2,high-intensity
10,33,unaltered,airconditioner,4,low-intensity
10,34,reverb,blender,2,high-intensity
10,35,reverb,coin_in_vending_machine,6,low-intensity
10,36,unaltered,dial_tone,1,low-intensity
10,37,unaltered,crying,4,high-intensity
10,38,reverb,truck_beeping_while_backing_up,6,high-intensity
10,39,reverb,writing_on_paper,1,low-intensity
10,40,unaltered,stream,2,low-intensity
10,41,unaltered,church_bells,8,high-intensity
10,42,reverb,train_warning_bell,6,high-intensity
10,43,reverb,camera_snapping_photos,4,low-intensity
10,44,reverb,radio_or_tv_static,7,high-intensity
10,45,unaltered,busaccelerating,5,low-intensity
10,46,reverb,marching,5,high-intensity
10,47,reverb,rattlesnake,7,low-intensity
10,48,reverb,waves_at_beach,6,high-intensity
10,49,reverb,jumping_rope,7,low-intensity
10,50,unaltered,wind,5,low-intensity
10,51,reverb,flag_flapping,7,low-intensity
10,52,reverb,cuckoo_clock,5,high-intensity
10,53,unaltered,rubbing_hands,5,low-intensity
10,54,reverb,geese,1,high-intensity
10,55,unaltered,walking_on_leaves,6,low-intensity
10,56,unaltered,tennis_volley,7,high-intensity
10,57,unaltered,car_skidding,7,high-intensity
10,58,reverb,applause,7,high-intensity
10,59,unaltered,cicadas,4,high-intensity
10,60,reverb,angry_shouting,6,high-intensity
10,61,unaltered,dog_drinking,1,low-intensity
10,62,unaltered,keys_jingling,5,low-intensity
10,63,reverb,toothbrushing,4,low-intensity
10,64,reverb,horse_galloping,4,low-intensity
10,65,unaltered,cutting_with_scissors,7,low-intensity
10,66,reverb,breathing,2,low-intensity
10,67,reverb,tearing,5,low-intensity
10,68,unaltered,chainsaw_revving,6,high-intensity
10,69,unaltered,frying,2,low-intensity
10,70,unaltered,grunting_and_groaning,2,low-intensity
10,71,reverb,pouring_liquid,1,low-intensity
10,72,reverb,car_crash,9,high-intensity
10,73,reverb,crow,6,high-intensity
10,74,unaltered,chicken_clucking,4,low-intensity
10,75,unaltered,hawk,6,high-intensity
10,76,reverb,crumpling_paper,4,low-intensity
10,77,reverb,water_splashing,5,high-intensity
10,78,reverb,crickets,4,low-intensity
10,79,unaltered,chopping_food,1,low-intensity
10,80,unaltered,cellphone_vibrating,4,low-intensity
10,81,reverb,pool_balls_colliding,4,high-intensity
10,82,reverb,doorbell,1,high-intensity
10,83,reverb,bicycling,4,low-intensity
10,84,reverb,scream,7,high-intensity
10,85,reverb,humming,4,low-intensity
10,86,reverb,car_idling,7,low-intensity
10,87,unaltered,whispering,7,low-intensity
10,88,reverb,computer_startup_sound,4,low-intensity
10,89,unaltered,frog_croaking,4,low-intensity
10,90,reverb,bees_buzzing,6,low-intensity
10,91,unaltered,spray_can_shaking,2,low-intensity
10,92,unaltered,rotary_telephone_dialer,5,low-intensity
10,93,reverb,boiling_water,7,low-intensity
10,94,reverb,bear,6,high-intensity
10,95,unaltered,squeaky_toy,6,high-intensity
10,96,unaltered,coffee_machine,2,low-intensity
10,97,unaltered,dentist_drill,1,high-intensity
10,98,unaltered,velcro,1,low-intensity
10,99,unaltered,fireworks,7,high-intensity
10,100,unaltered,school_bell,2,high-intensity
10,101,reverb,basketball_dribbling,6,low-intensity
10,102,unaltered,walking_with_heels,5,high-intensity
10,103,reverb,chair_rolling,7,low-intensity
10,104,unaltered,vegetable_peeler,1,low-intensity
10,105,unaltered,typing,6,low-intensity
10,106,unaltered,blowing_on_bottle,4,low-intensity
10,107,reverb,bus_decelerating,5,high-intensity
10,108,reverb,dishes_clanking,5,high-intensity
10,109,unaltered,film_reel_turning,5,high-intensity
10,110,unaltered,balloondeflating,5,low-intensity
10,111,unaltered,glass_shattering,7,high-intensity
10,112,reverb,sheep,5,high-intensity
10,113,unaltered,chimes_in_the_wind,8,high-intensity
10,114,reverb,dialup_internet,4,high-intensity
10,115,reverb,road_traffic,7,high-intensity
10,116,reverb,gong,8,high-intensity
10,117,reverb,explosion,5,high-intensity
10,118,reverb,bus,8,low-intensity
10,119,reverb,coughing,6,high-intensity
10,120,unaltered,gargling,2,low-intensity
10,121,unaltered,blacksmith_hammering,7,high-intensity
10,122,reverb,printing,7,high-intensity
10,123,reverb,scratching,2,low-intensity
10,124,unaltered,airplane_taking_off,9,high-intensity
10,125,reverb,motorcycle_reving,7,high-intensity
10,126,unaltered,reception_desk_bell,5,high-intensity
10,127,unaltered,songbird,6,low-intensity
10,128,reverb,lawn_mower,6,high-intensity
10,129,unaltered,horse_neighing,6,high-intensity
10,130,reverb,flushing,7,low-intensity
10,131,unaltered,clock_ticking,1,low-intensity
10,132,unaltered,puppy_whining,6,low-intensity
10,133,unaltered,car_engine_starting,4,high-intensity
10,134,reverb,sawing,7,high-intensity
10,135,reverb,shuffling_cards,4,low-intensity
10,136,unaltered,fire,1,low-intensity
10,137,reverb,whistle,4,high-intensity
10,138,unaltered,newspaper_rustling,5,low-intensity
10,139,unaltered,running,6,low-intensity
10,140,unaltered,biting_and_chewing,7,low-intensity
10,141,unaltered,train_whistle,6,high-intensity
10,142,unaltered,zipper,2,low-intensity
10,143,unaltered,cash_register,2,low-intensity
10,144,unaltered,slicing_bread,2,low-intensity
10,145,unaltered,siren,8,high-intensity
10,146,reverb,sharpening_knives,4,low-intensity
10,147,unaltered,suitcase_rolling,4,low-intensity
10,148,reverb,car_power_windows,5,low-intensity
10,149,unaltered,swimming,4,low-intensity
10,150,unaltered,truck,6,high-intensity
10,151,reverb,lion_growl_and_roar,4,high-intensity
10,152,reverb,spraying,6,low-intensity
10,153,unaltered,dog_barking,6,high-intensity
10,154,unaltered,bells_jingling,4,high-intensity
10,155,reverb,pepper_grinder,2,low-intensity
10,156,unaltered,electric_hand_drill,4,high-intensity
10,157,reverb,electric_shaver,1,high-intensity
10,158,unaltered,bicycle_skidding,5,low-intensity
10,159,reverb,turkey_gobble,5,high-intensity
10,160,reverb,crowd_laughing,6,high-intensity
10,161,reverb,car_accelerating,6,low-intensity
10,162,unaltered,bulldozer,5,high-intensity
10,163,reverb,motorboat,7,high-intensity
10,164,reverb,background_speech,7,high-intensity
10,165,reverb,wings_flapping,5,low-intensity
10,166,reverb,sliding_door,5,low-intensity
10,167,reverb,bike_bell,2,low-intensity
10,168,reverb,grating_food,5,low-intensity
10,169,reverb,boat_horn,5,high-intensity
10,170,unaltered,seal,5,high-intensity
10,171,unaltered,drinking,6,low-intensity
