listener,listener_trial,reverb_condition,sound_heard,distance_rating,typical_source_intensity
2,85,reverb,RustlingBranch,4,low-intensity
2,86,reverb,dialup_internet,5,control-low-intensity
2,87,unaltered,waves_at_beach,5,control-low-intensity
2,88,reverb,fire_alarm,4,control-high-intensity
2,89,reverb,LeafBlower,5,high-intensity
2,90,reverb,owl_hooting,7,control-low-intensity
2,91,reverb,BoilingKettle,7,medium-intensity
2,92,reverb,cash_register,5,control-low-intensity
2,93,reverb,slicing_bread,7,control-low-intensity
2,94,reverb,computer_startup_sound,4,control-low-intensity
2,95,unaltered,SprayCanShake,5,medium-intensity
2,96,unaltered,HandsRubbing,5,low-intensity
2,97,reverb,pool_balls_colliding,8,control-low-intensity
2,98,unaltered,horse_neighing,2,control-low-intensity
2,99,reverb,thunder,2,control-high-intensity
2,100,reverb,SawingWood,6,medium-intensity
2,101,reverb,Stapler,5,medium-intensity
2,102,reverb,race_car_passing_by,6,control-high-intensity
2,103,reverb,motorcycle_reving,8,control-high-intensity
2,104,unaltered,ElectricShaver,4,medium-intensity
2,105,unaltered,Drill,5,high-intensity
2,106,unaltered,cuckoo_clock,1,control-low-intensity
2,107,unaltered,chainsaw_revving,2,control-high-intensity
2,108,reverb,Scissors,5,low-intensity
2,109,unaltered,cat_purring,1,control-low-intensity
2,110,unaltered,motorboat,6,control-high-intensity
2,111,reverb,BicycleFreewheel,4,medium-intensity
2,112,reverb,scream,6,control-high-intensity
2,113,reverb,GlassSmash,6,high-intensity
2,114,reverb,vegetable_peeler,8,control-low-intensity
2,115,unaltered,Shovel,4,low-intensity
2,116,reverb,car_idling,4,control-low-intensity
3,1,unaltered,bus,4,control-low-intensity
3,2,unaltered,hair_dryer,5,control-low-intensity
3,3,reverb,grandfather_clock_chimes,9,control-low-intensity
3,4,reverb,busaccelerating,2,control-low-intensity
3,5,reverb,WaterSplash,5,low-intensity
3,6,unaltered,cat_purring,1,control-low-intensity
3,7,unaltered,typing,5,control-low-intensity
3,8,unaltered,pool_balls_colliding,4,control-low-intensity
3,9,unaltered,scratching,4,control-low-intensity
3,10,unaltered,glass_shattering,6,control-low-intensity
3,11,reverb,bees_buzzing,4,control-low-intensity
3,12,reverb,BranchTrimmer,5,low-intensity
3,13,reverb,explosion,9,control-high-intensity
3,14,unaltered,Scissors,6,low-intensity
3,15,unaltered,CrumplingPaper,4,medium-intensity
3,16,unaltered,SprayCanShake,1,medium-intensity
3,17,unaltered,boat_horn,4,control-low-intensity
3,18,reverb,breathing,5,control-low-intensity
3,19,reverb,siren,7,control-high-intensity
3,20,reverb,horse_galloping,2,control-low-intensity
3,21,unaltered,spraying,5,control-low-intensity
